ampl.tab 3 1
ALL_PLACES	PLACES	DAYS	travel
HOME_NEU_START	HOME_NEU_START	1	0
HOME_NEU_START	HOME_NEU_START	2	0
HOME_NEU_START	HOME_NEU_START	3	0
HOME_NEU_START	HOME_NEU_START	4	0
HOME_NEU_START	HOME_NEU_START	5	0
HOME_NEU_START	HOME_NEU_START	6	0
HOME_NEU_START	HOME_NEU_START	7	0
HOME_NEU_START	HOME_NEU_START	8	0
HOME_NEU_START	FrdmTrl	1	0
HOME_NEU_START	FrdmTrl	2	0
HOME_NEU_START	FrdmTrl	3	0
HOME_NEU_START	FrdmTrl	4	0
HOME_NEU_START	FrdmTrl	5	0
HOME_NEU_START	FrdmTrl	6	0
HOME_NEU_START	FrdmTrl	7	0
HOME_NEU_START	FrdmTrl	8	0
HOME_NEU_START	FnwyPrk	1	0
HOME_NEU_START	FnwyPrk	2	0
HOME_NEU_START	FnwyPrk	3	0
HOME_NEU_START	FnwyPrk	4	0
HOME_NEU_START	FnwyPrk	5	0
HOME_NEU_START	FnwyPrk	6	0
HOME_NEU_START	FnwyPrk	7	0
HOME_NEU_START	FnwyPrk	8	0
HOME_NEU_START	MsmofFA	1	0
HOME_NEU_START	MsmofFA	2	0
HOME_NEU_START	MsmofFA	3	0
HOME_NEU_START	MsmofFA	4	0
HOME_NEU_START	MsmofFA	5	0
HOME_NEU_START	MsmofFA	6	0
HOME_NEU_START	MsmofFA	7	0
HOME_NEU_START	MsmofFA	8	0
HOME_NEU_START	BstTPSM	1	0
HOME_NEU_START	BstTPSM	2	0
HOME_NEU_START	BstTPSM	3	0
HOME_NEU_START	BstTPSM	4	0
HOME_NEU_START	BstTPSM	5	0
HOME_NEU_START	BstTPSM	6	0
HOME_NEU_START	BstTPSM	7	0
HOME_NEU_START	BstTPSM	8	0
HOME_NEU_START	NrthEnd	1	0
HOME_NEU_START	NrthEnd	2	0
HOME_NEU_START	NrthEnd	3	0
HOME_NEU_START	NrthEnd	4	0
HOME_NEU_START	NrthEnd	5	0
HOME_NEU_START	NrthEnd	6	0
HOME_NEU_START	NrthEnd	7	0
HOME_NEU_START	NrthEnd	8	0
HOME_NEU_START	JhFKPML	1	0
HOME_NEU_START	JhFKPML	2	0
HOME_NEU_START	JhFKPML	3	0
HOME_NEU_START	JhFKPML	4	0
HOME_NEU_START	JhFKPML	5	0
HOME_NEU_START	JhFKPML	6	0
HOME_NEU_START	JhFKPML	7	0
HOME_NEU_START	JhFKPML	8	0
HOME_NEU_START	BstnPbG	1	0
HOME_NEU_START	BstnPbG	2	0
HOME_NEU_START	BstnPbG	3	0
HOME_NEU_START	BstnPbG	4	0
HOME_NEU_START	BstnPbG	5	0
HOME_NEU_START	BstnPbG	6	0
HOME_NEU_START	BstnPbG	7	0
HOME_NEU_START	BstnPbG	8	0
HOME_NEU_START	SmlAdmB	1	0
HOME_NEU_START	SmlAdmB	2	0
HOME_NEU_START	SmlAdmB	3	0
HOME_NEU_START	SmlAdmB	4	0
HOME_NEU_START	SmlAdmB	5	0
HOME_NEU_START	SmlAdmB	6	0
HOME_NEU_START	SmlAdmB	7	0
HOME_NEU_START	SmlAdmB	8	0
HOME_NEU_START	IsblSGM	1	0
HOME_NEU_START	IsblSGM	2	0
HOME_NEU_START	IsblSGM	3	0
HOME_NEU_START	IsblSGM	4	0
HOME_NEU_START	IsblSGM	5	0
HOME_NEU_START	IsblSGM	6	0
HOME_NEU_START	IsblSGM	7	0
HOME_NEU_START	IsblSGM	8	0
HOME_NEU_START	BstnPbL	1	0
HOME_NEU_START	BstnPbL	2	0
HOME_NEU_START	BstnPbL	3	0
HOME_NEU_START	BstnPbL	4	0
HOME_NEU_START	BstnPbL	5	0
HOME_NEU_START	BstnPbL	6	0
HOME_NEU_START	BstnPbL	7	0
HOME_NEU_START	BstnPbL	8	0
HOME_NEU_START	USSCnst	1	0
HOME_NEU_START	USSCnst	2	0
HOME_NEU_START	USSCnst	3	0
HOME_NEU_START	USSCnst	4	0
HOME_NEU_START	USSCnst	5	0
HOME_NEU_START	USSCnst	6	0
HOME_NEU_START	USSCnst	7	0
HOME_NEU_START	USSCnst	8	0
HOME_NEU_START	BecnHll	1	0
HOME_NEU_START	BecnHll	2	0
HOME_NEU_START	BecnHll	3	0
HOME_NEU_START	BecnHll	4	0
HOME_NEU_START	BecnHll	5	0
HOME_NEU_START	BecnHll	6	0
HOME_NEU_START	BecnHll	7	0
HOME_NEU_START	BecnHll	8	0
HOME_NEU_START	BackBay	1	0
HOME_NEU_START	BackBay	2	0
HOME_NEU_START	BackBay	3	0
HOME_NEU_START	BackBay	4	0
HOME_NEU_START	BackBay	5	0
HOME_NEU_START	BackBay	6	0
HOME_NEU_START	BackBay	7	0
HOME_NEU_START	BackBay	8	0
HOME_NEU_START	OldNCHS	1	0
HOME_NEU_START	OldNCHS	2	0
HOME_NEU_START	OldNCHS	3	0
HOME_NEU_START	OldNCHS	4	0
HOME_NEU_START	OldNCHS	5	0
HOME_NEU_START	OldNCHS	6	0
