ampl.tab 2 1
ALL_PLACES	PLACES	travel
HOME_NEU_START	HOME_NEU_START	0
HOME_NEU_START	FnwyPrk	0
HOME_NEU_START	MsmofFA	0
HOME_NEU_START	NrthEnd	0
HOME_NEU_START	JhFKPML	0
HOME_NEU_START	BstnPbG	0
HOME_NEU_START	SmlAdmB	0
HOME_NEU_START	BstnPbL	0
HOME_NEU_START	BackBay	0
HOME_NEU_START	NwEngHM	0
HOME_NEU_START	ArnldAr	0
HOME_NEU_START	BstnOpH	0
HOME_NEU_START	Mrrt_CH	0
HOME_NEU_START	ThBstnP	0
HOME_NEU_START	CmmnwAM	0
HOME_NEU_START	ThPOoEG	0
HOME_NEU_START	DwnstCH	0
HOME_NEU_START	BstnAth	0
HOME_NEU_START	EtDaMGH	0
HOME_NEU_START	BstnWnr	0
HOME_NEU_START	MtrplWM	0
HOME_NEU_START	BstnBll	0
HOME_NEU_START	PirsPrk	0
HOME_NEU_START	AnaHACM	0
HOME_NEU_START	ArlngSC	0
HOME_NEU_START	LttBIaL	0
HOME_NEU_START	NwEnCJH	0
HOME_NEU_START	MFABstn	0
HOME_NEU_START	FrtWrrn	0
HOME_NEU_START	ThmpsnI	0
HOME_NEU_START	EmrldNc	1
HOME_NEU_START	HOME_NEU_END	0
FnwyPrk	HOME_NEU_START	0
FnwyPrk	FnwyPrk	0
FnwyPrk	MsmofFA	0
FnwyPrk	NrthEnd	0
FnwyPrk	JhFKPML	0
FnwyPrk	BstnPbG	0
FnwyPrk	SmlAdmB	0
FnwyPrk	BstnPbL	0
FnwyPrk	BackBay	0
FnwyPrk	NwEngHM	0
FnwyPrk	ArnldAr	0
FnwyPrk	BstnOpH	0
FnwyPrk	Mrrt_CH	0
FnwyPrk	ThBstnP	0
FnwyPrk	CmmnwAM	0
FnwyPrk	ThPOoEG	0
FnwyPrk	DwnstCH	0
FnwyPrk	BstnAth	0
FnwyPrk	EtDaMGH	0
FnwyPrk	BstnWnr	0
FnwyPrk	MtrplWM	0
FnwyPrk	BstnBll	0
FnwyPrk	PirsPrk	0
FnwyPrk	AnaHACM	0
FnwyPrk	ArlngSC	0
FnwyPrk	LttBIaL	0
FnwyPrk	NwEnCJH	0
FnwyPrk	MFABstn	0
FnwyPrk	FrtWrrn	0
FnwyPrk	ThmpsnI	0
FnwyPrk	EmrldNc	0
FnwyPrk	HOME_NEU_END	0
MsmofFA	HOME_NEU_START	0
MsmofFA	FnwyPrk	0
MsmofFA	MsmofFA	0
MsmofFA	NrthEnd	0
MsmofFA	JhFKPML	0
MsmofFA	BstnPbG	0
MsmofFA	SmlAdmB	0
MsmofFA	BstnPbL	0
MsmofFA	BackBay	0
MsmofFA	NwEngHM	0
MsmofFA	ArnldAr	0
MsmofFA	BstnOpH	0
MsmofFA	Mrrt_CH	0
MsmofFA	ThBstnP	0
MsmofFA	CmmnwAM	0
MsmofFA	ThPOoEG	0
MsmofFA	DwnstCH	0
MsmofFA	BstnAth	0
MsmofFA	EtDaMGH	0
