"name","category","url","rating","reviews","src_url"
"Freedom Trail","Sights & Landmarks","https://www.tripadvisor.com/Attraction_Review-g60745-d104604-Reviews-Freedom_Trail-Boston_Massachusetts.html","45","17,077 reviews","https://www.tripadvisor.com/Attractions-g60745-Activities-Boston_Massachusetts.html"
"Fenway Park","Sights & Landmarks","https://www.tripadvisor.com/Attraction_Review-g60745-d105250-Reviews-Fenway_Park-Boston_Massachusetts.html","45","16,362 reviews","https://www.tripadvisor.com/Attractions-g60745-Activities-Boston_Massachusetts.html"
"Museum of Fine Arts","Museums","https://www.tripadvisor.com/Attraction_Review-g60745-d105257-Reviews-Museum_of_Fine_Arts-Boston_Massachusetts.html","50","8,027 reviews","https://www.tripadvisor.com/Attractions-g60745-Activities-Boston_Massachusetts.html"
"Boston Tea Party Ships & Museum","Sights & Landmarks","https://www.tripadvisor.com/Attraction_Review-g60745-d103645-Reviews-Boston_Tea_Party_Ships_Museum-Boston_Massachusetts.html","45","6,135 reviews","https://www.tripadvisor.com/Attractions-g60745-Activities-Boston_Massachusetts.html"
"North End","Sights & Landmarks","https://www.tripadvisor.com/Attraction_Review-g60745-d103113-Reviews-North_End-Boston_Massachusetts.html","45","7,038 reviews","https://www.tripadvisor.com/Attractions-g60745-Activities-Boston_Massachusetts.html"
"John F. Kennedy Presidential Museum & Library","Traveler Resources","https://www.tripadvisor.com/Attraction_Review-g60745-d103112-Reviews-John_F_Kennedy_Presidential_Museum_Library-Boston_Massachusetts.html","45","3,848 reviews","https://www.tripadvisor.com/Attractions-g60745-Activities-Boston_Massachusetts.html"
"Boston Public Garden","Nature & Parks","https://www.tripadvisor.com/Attraction_Review-g60745-d103648-Reviews-Boston_Public_Garden-Boston_Massachusetts.html","45","9,708 reviews","https://www.tripadvisor.com/Attractions-g60745-Activities-Boston_Massachusetts.html"
"Samuel Adams Brewery","Food & Drink","https://www.tripadvisor.com/Attraction_Review-g60745-d603272-Reviews-Samuel_Adams_Brewery-Boston_Massachusetts.html","45","2,456 reviews","https://www.tripadvisor.com/Attractions-g60745-Activities-Boston_Massachusetts.html"
"Isabella Stewart Gardner Museum","Nature & Parks","https://www.tripadvisor.com/Attraction_Review-g60745-d108823-Reviews-Isabella_Stewart_Gardner_Museum-Boston_Massachusetts.html","45","3,021 reviews","https://www.tripadvisor.com/Attractions-g60745-Activities-Boston_Massachusetts.html"
"Boston Public Library","Sights & Landmarks","https://www.tripadvisor.com/Attraction_Review-g60745-d104816-Reviews-Boston_Public_Library-Boston_Massachusetts.html","45","3,886 reviews","https://www.tripadvisor.com/Attractions-g60745-Activities-Boston_Massachusetts.html"
