"url","name","ratings","costs","duration"
"https://www.tripadvisor.com/Attraction_Review-g60745-d104604-Reviews-Freedom_Trail-Boston_Massachusetts.html","Freedom Trail","Excellent
69%
Very good
25%
Average
4%
Poor
1%
Terrible
1%",NA,"Suggested duration: 2-3 hours"
"https://www.tripadvisor.com/Attraction_Review-g60745-d105250-Reviews-Fenway_Park-Boston_Massachusetts.html","Fenway Park","Excellent
76%
Very good
18%
Average
4%
Poor
1%
Terrible
1%",NA,"Suggested duration: More than 3 hours"
"https://www.tripadvisor.com/Attraction_Review-g60745-d105257-Reviews-Museum_of_Fine_Arts-Boston_Massachusetts.html","Museum of Fine Arts","Excellent
79%
Very good
17%
Average
2%
Poor
1%
Terrible
1%",NA,"Suggested duration: 2-3 hours"
"https://www.tripadvisor.com/Attraction_Review-g60745-d103645-Reviews-Boston_Tea_Party_Ships_Museum-Boston_Massachusetts.html","Boston Tea Party Ships & Museum","Excellent
67%
Very good
25%
Average
6%
Poor
1%
Terrible
1%","Admission to Boston Tea Party Ships and Museum
Gain admission to the Boston Tea Party Ships and Museum and learn how...read more
From $29.99*
Check Availability",NA
"https://www.tripadvisor.com/Attraction_Review-g60745-d103113-Reviews-North_End-Boston_Massachusetts.html","North End","Excellent
71%
Very good
24%
Average
3%
Poor
1%
Terrible
1%",NA,"Suggested duration: 1-2 hours"
"https://www.tripadvisor.com/Attraction_Review-g60745-d103112-Reviews-John_F_Kennedy_Presidential_Museum_Library-Boston_Massachusetts.html","John F. Kennedy Presidential Museum & Library","Excellent
71%
Very good
22%
Average
5%
Poor
1%
Terrible
1%",NA,"Suggested duration: 2-3 hours"
"https://www.tripadvisor.com/Attraction_Review-g60745-d103648-Reviews-Boston_Public_Garden-Boston_Massachusetts.html","Boston Public Garden","Excellent
71%
Very good
25%
Average
2%
Poor
1%
Terrible
1%",NA,"Suggested duration: 1-2 hours"
"https://www.tripadvisor.com/Attraction_Review-g60745-d603272-Reviews-Samuel_Adams_Brewery-Boston_Massachusetts.html","Samuel Adams Brewery","Excellent
74%
Very good
20%
Average
4%
Poor
1%
Terrible
1%",NA,"Suggested duration: 1-2 hours"
"https://www.tripadvisor.com/Attraction_Review-g60745-d108823-Reviews-Isabella_Stewart_Gardner_Museum-Boston_Massachusetts.html","Isabella Stewart Gardner Museum","Excellent
70%
Very good
20%
Average
7%
Poor
2%
Terrible
1%",NA,"Suggested duration: 1-2 hours"
"https://www.tripadvisor.com/Attraction_Review-g60745-d104816-Reviews-Boston_Public_Library-Boston_Massachusetts.html","Boston Public Library","Excellent
72%
Very good
24%
Average
2%
Poor
1%
Terrible
1%",NA,"Suggested duration: 1-2 hours"
