"name_symbol","FareCorrected","duration_numeric","weighted_Rating"
"HOME_NEU_START",0,0,0
"HOME_NEU_END",0,0,0
"FrdmTrl",16,3,4.6
"FnwyPrk",25,3.5,4.67
"MsmofFA",59,3,4.72
"BstTPSM",29.99,1,4.56
"NrthEnd",20,2,4.63
"JhFKPML",59,3,4.61
"BstnPbG",35,2,4.64
"SmlAdmB",63,2,4.65
"IsblSGM",59,2,4.56
"BstnPbL",35,2,4.65
"USSCnst",27.25,1,4.51
"BecnHll",35,3,4.51
"BackBay",35,2,4.64
"OldNCHS",4.25,1,4.51
"HrbrWlk",34.6,1,4.54
"NwEngHM",4,1,4.62
"ArnldAr",75,1,4.72
"ChrlsRE",47.15,1,4.58
"BstnOpH",19,1,4.61
"Mrrt_CH",27.21,1,4.64
"RsKnndG",4,1,4.58
"ThBstnP",0,1,4.76
"Grg_sIs",91.57,2,4.53
"CmmnwAM",75,1,4.61
"ThPOoEG",0,0.75,4.7
"EMKIftUSS",59,2,4.61
"DwnstCH",0,2,4.72
"FanPier",899.99,1,4.6
"BstnAth",0,1,4.62
"SymphnH",46.16,1,4.61
"EtDaMGH",0,1,4.64
"BstnWnr",0,1,4.68
"MtrplWM",0,1,4.68
"BySttCC",0,2,4.61
"PSRMMoMHaIaMGH",0,0.75,4.6
"BstnBll",0,1,4.69
"JamcPnd",75,1,4.54
"PirsPrk",0,1,4.63
"NtnPSVC",0,1,4.57
"NwBlnFS",0,1,4.56
"AnaHACM",0,2,4.84
"ArlngSC",47.15,0.75,4.62
"LttBIaL",91.57,3,4.87
"NwEnCJH",0,1,4.73
"FrtWrrn",0,1,4.68
"ChrcotC",0,1,4.61
"ThmpsnI",34.6,1,4.64
"EmrldNc",75,1,4.65
"LyrSCoB",0,1,4.6
